week,x1,x2,x3,x4,y
0,0.191447,0.038193,0.607418,0.414584,64.443439863301
0,0.758653,0.536518,0.656000,0.360342,18.30137959857266
0,0.438350,0.804340,0.210245,0.151295,0.1129397953712203
0,0.706051,0.534192,0.264243,0.482088,4.210898128938665
0,0.836478,0.193610,0.663893,0.785649,258.3705254462536
0,0.683432,0.118663,0.829046,0.567577,78.43438888779464
0,0.553621,0.667350,0.323806,0.814870,57.57153693261287
0,0.352356,0.322242,0.116979,0.473113,109.5718755614928
0,0.153786,0.729382,0.422598,0.443074,8.847991759070865
0,0.463442,0.630025,0.107906,0.957644,233.22361017104996
0,0.677491,0.358510,0.479592,0.072880,24.423088313942344
0,0.583973,0.147243,0.348097,0.428615,64.42014681963983
0,0.306889,0.316878,0.622634,0.095399,63.47671578508436
0,0.511142,0.817957,0.728710,0.112354,79.72912992694343
0,0.438933,0.774092,0.378167,0.933696,355.8068177560159
0,0.224189,0.846480,0.879484,0.878516,1088.8596181962705
0,0.725262,0.479870,0.088947,0.759760,28.866751637393822
0,0.355482,0.639619,0.417618,0.122604,45.181570346703786
0,0.119879,0.862540,0.643331,0.849804,431.6127567592104
0,0.126885,0.153430,0.770162,0.190518,9.972331894593824
1,0.222709,0.846708,0.876134,0.878108,1072.19223
2,0.126750,0.154500,0.795000,0.201055,-3.78939474
3,0.238677,0.844253,0.912281,0.882506,1269.42311
4,0.261006,0.840818,0.962835,0.888654,1620.024231
5,0.315789,0.894737,0.947368,1.000000,2757.023279
