week,x1,x2,y
0,0.665800,0.123969,0.5389961189269181
0,0.877791,0.778628,0.42058623962798264
0,0.142699,0.349005,-0.06562362443733738
0,0.845275,0.711120,0.293992912410866
0,0.454647,0.290455,0.2149645101004509
0,0.577713,0.771973,0.023105549798190586
0,0.438166,0.685018,0.24461934400448035
0,0.341750,0.028698,0.0387490151561584
0,0.338648,0.213867,-0.013857618149729824
0,0.702637,0.926564,0.6112052157614438
1,0.730000,0.930000,0.55441708
2,0.857143,0.979592,0.08433379
3,0.673469,0.285714,0.53764645
4,0.775510,0.204082,0.239743642
5,0.676768,0.969697,0.498074493
