week,x1,x2,y
0,0.319404,0.762959,1.3226770395454077e-79
0,0.574329,0.879898,1.0330782375230975e-46
0,0.731024,0.733000,7.710875114502849e-16
0,0.840353,0.264732,3.341771007676023e-124
0,0.650114,0.681526,-0.0036060626443634764
0,0.410437,0.147554,-2.1592490357331095e-54
0,0.312691,0.078723,-2.0890932702320842e-91
0,0.683418,0.861057,2.5350011535584046e-40
0,0.082507,0.403488,3.6067711901420254e-81
0,0.883890,0.582254,6.229856468168659e-48
1,0.659200,0.676300,-0.001299
2,0.000000,0.999999,0.0
3,0.999999,0.999999,1.5176e-192
4,0.000000,0.000000,2.3088e-248
5,0.414141,0.000000,-1.3353e-124
